clip_id,platform,body,hashtags,account,version
20260827_샘플영상_clip01,instagram,"친구 먼저 보낸 날, 연락이 안 됐습니다

지난주 금요일에 친구를 먼저 보냈는데 새벽까지 연락이 안 됐어요.

집가는 술자리 점수로 귀가를 정하는 앱입니다.
3판 평균 40점 미만이면 화면에 뜨는 두 글자 — ""집 가""

곧 나옵니다. 댓글에 ""점수"" 남겨주시면 제일 먼저 알려드릴게요.",#집가 #술자리 #귀가 #모임앱,a,1
20260827_샘플영상_clip01,threads,"친구 먼저 보낸 날, 연락이 안 됐습니다

술자리에서 게임 하고, 점수가 낮으면 택시 앱이 저절로 뜨는 앱을 만들고 있습니다.
이름은 집가. 벌칙이 곧 귀가입니다.

지난주 금요일에 친구를 먼저 보냈는데 새벽까지 연락이 안 됐어요.

관심 있으시면 댓글 남겨주세요.",,a,1
20260827_샘플영상_clip01,youtube,"지난주 금요일에 친구를 먼저 보냈는데 새벽까지 연락이 안 됐어요. | 점수 낮으면 집 가는 앱, 집가",#집가 #shorts,a,1
20260827_샘플영상_clip02,instagram,"친구 먼저 보낸 날, 연락이 안 됐습니다

일등이어도 사십 점이 안 되면 벌칙이에요. 봐주는 거 없습니다.

집가는 술자리 점수로 귀가를 정하는 앱입니다.
3판 평균 40점 미만이면 화면에 뜨는 두 글자 — ""집 가""

곧 나옵니다. 댓글에 ""점수"" 남겨주시면 제일 먼저 알려드릴게요.",#집가 #술자리 #귀가 #모임앱,a,1
20260827_샘플영상_clip02,threads,"친구 먼저 보낸 날, 연락이 안 됐습니다

술자리에서 게임 하고, 점수가 낮으면 택시 앱이 저절로 뜨는 앱을 만들고 있습니다.
이름은 집가. 벌칙이 곧 귀가입니다.

일등이어도 사십 점이 안 되면 벌칙이에요. 봐주는 거 없습니다.

관심 있으시면 댓글 남겨주세요.",,a,1
20260827_샘플영상_clip02,youtube,"일등이어도 사십 점이 안 되면 벌칙이에요. 봐주는 거 없습니다. | 점수 낮으면 집 가는 앱, 집가",#집가 #shorts,a,1
20260827_샘플영상_clip01,instagram,"친구 먼저 보낸 날, 연락이 안 됐습니다

지난주 금요일에 친구를 먼저 보냈는데 새벽까지 연락이 안 됐어요.

집가는 게임 점수로 귀가 시간을 정하는 사이트입니다.
평균 40점 미만이면 화면에 뜨는 두 글자 — ""집 가""
설치 없이 링크로 바로 쓸 수 있어요.

곧 열립니다. 댓글에 ""점수"" 남겨주시면 제일 먼저 알려드릴게요.",#집가 #귀가 #모임,a,2
20260827_샘플영상_clip01,threads,"친구 먼저 보낸 날, 연락이 안 됐습니다

모임에서 게임 하나 하고, 점수가 낮으면 집에 갈 시간을 알려주는 사이트를 만들고 있습니다.
이름은 집가. 벌칙이 곧 귀가예요.

지난주 금요일에 친구를 먼저 보냈는데 새벽까지 연락이 안 됐어요.

관심 있으면 댓글 남겨주세요.",,a,2
20260827_샘플영상_clip01,youtube,"지난주 금요일에 친구를 먼저 보냈는데 새벽까지 연락이 안 됐어요. | 점수 낮으면 집 가는 사이트, 집가",#집가 #shorts,a,2
20260827_샘플영상_clip02,instagram,"친구 먼저 보낸 날, 연락이 안 됐습니다

일등이어도 사십 점이 안 되면 벌칙이에요. 봐주는 거 없습니다.

집가는 게임 점수로 귀가 시간을 정하는 사이트입니다.
평균 40점 미만이면 화면에 뜨는 두 글자 — ""집 가""
설치 없이 링크로 바로 쓸 수 있어요.

곧 열립니다. 댓글에 ""점수"" 남겨주시면 제일 먼저 알려드릴게요.",#집가 #귀가 #모임,a,2
20260827_샘플영상_clip02,threads,"친구 먼저 보낸 날, 연락이 안 됐습니다

모임에서 게임 하나 하고, 점수가 낮으면 집에 갈 시간을 알려주는 사이트를 만들고 있습니다.
이름은 집가. 벌칙이 곧 귀가예요.

일등이어도 사십 점이 안 되면 벌칙이에요. 봐주는 거 없습니다.

관심 있으면 댓글 남겨주세요.",,a,2
20260827_샘플영상_clip02,youtube,"일등이어도 사십 점이 안 되면 벌칙이에요. 봐주는 거 없습니다. | 점수 낮으면 집 가는 사이트, 집가",#집가 #shorts,a,2
