시각,파일,플랫폼,방식,결과
2026-08-27 12:49,테스트영상.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-27 12:49,테스트영상.mp4,인스타그램,보조(테스트),사용자 직접 업로드
2026-08-27 12:49,테스트영상.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,16_애니_집보내기.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,16_애니_집보내기.mp4,인스타그램,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,16_애니_집보내기.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,16_애니_집보내기.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,16_애니_집보내기.mp4,티스토리,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,17_실사_집보내기.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,17_실사_집보내기.mp4,인스타그램,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,17_실사_집보내기.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,17_실사_집보내기.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,17_실사_집보내기.mp4,티스토리,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,19_순화_고화질_30초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,19_순화_고화질_30초.mp4,인스타그램,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,19_순화_고화질_30초.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,19_순화_고화질_30초.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,19_순화_고화질_30초.mp4,티스토리,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,20_유튜브_티저_30초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,20_유튜브_티저_30초.mp4,인스타그램,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,20_유튜브_티저_30초.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,20_유튜브_티저_30초.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,20_유튜브_티저_30초.mp4,티스토리,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,21_유튜브_티저_15초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,21_유튜브_티저_15초.mp4,인스타그램,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,21_유튜브_티저_15초.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,21_유튜브_티저_15초.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,21_유튜브_티저_15초.mp4,티스토리,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,_배경_보케.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,_배경_보케.mp4,인스타그램,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,_배경_보케.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,_배경_보케.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,_배경_보케.mp4,티스토리,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,16_애니_집보내기.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,17_실사_집보내기.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,19_순화_고화질_30초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,20_유튜브_티저_30초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,21_유튜브_티저_15초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,_배경_보케.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,16_애니_집보내기.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,17_실사_집보내기.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,19_순화_고화질_30초.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,20_유튜브_티저_30초.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,21_유튜브_티저_15초.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:02,_배경_보케.mp4,네이버 블로그,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,16_애니_집보내기.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,17_실사_집보내기.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,19_순화_고화질_30초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,20_유튜브_티저_30초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,21_유튜브_티저_15초.mp4,유튜브,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,16_애니_집보내기.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,17_실사_집보내기.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,19_순화_고화질_30초.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,20_유튜브_티저_30초.mp4,쓰레드,보조(테스트),사용자 직접 업로드
2026-08-28 15:05,21_유튜브_티저_15초.mp4,쓰레드,보조(테스트),사용자 직접 업로드
